iter	Logloss
0	0.686754327
1	0.6818988903
2	0.6781106888
3	0.6746953987
4	0.6720024724
5	0.6699652401
6	0.6682103456
7	0.6664121818
8	0.6651703761
9	0.6639970254
10	0.6625764145
11	0.6612389835
12	0.6604603538
13	0.6598405045
14	0.6588106029
15	0.6580730187
16	0.6575844461
17	0.6570985742
18	0.6566686683
19	0.6556702866
20	0.6546440079
21	0.6541908378
22	0.652198183
23	0.6514499074
24	0.6509789961
25	0.6501361895
26	0.6498575713
27	0.6479158038
28	0.6464564811
29	0.6460514465
30	0.6458210643
31	0.6449341047
32	0.6441879562
33	0.6439989237
34	0.6430417115
35	0.6416321186
36	0.6412185675
37	0.6405731507
38	0.6395201161
39	0.63909636
40	0.6382786199
41	0.6371439253
42	0.6361148355
43	0.6352585833
44	0.6347289962
45	0.6345777547
46	0.6337407212
47	0.6328917167
48	0.6327283103
49	0.6319243546
50	0.6311863055
51	0.6304081948
52	0.6297968923
53	0.6292916549
54	0.6287763888
55	0.6284094681
56	0.6275215848
57	0.6270239547
58	0.6265156983
59	0.626027799
60	0.6253288414
61	0.6247235453
62	0.6238398626
63	0.6233929787
64	0.622855971
65	0.6225326376
66	0.6218102072
67	0.6208315292
68	0.6201818992
69	0.6193439254
70	0.618687519
71	0.6181072612
72	0.6177441374
73	0.6176159708
74	0.617245545
75	0.6171135707
76	0.6162315146
77	0.6155491271
78	0.6153286521
79	0.6150114677
80	0.614535626
81	0.6138138419
82	0.613680872
83	0.6134521074
84	0.6126743042
85	0.6124544641
86	0.6116967178
87	0.6114843605
88	0.610827167
89	0.6105231053
90	0.610047154
91	0.6095810451
92	0.6088879148
93	0.6086323978
94	0.6084667823
95	0.6077462227
96	0.6071418022
97	0.6064918819
98	0.6059603967
99	0.6057810091
100	0.6050909322
101	0.6047122915
102	0.6044117906
103	0.6039782228
104	0.6036566415
105	0.6033105626
106	0.6023388639
107	0.6020163077
108	0.6015456997
109	0.6010113201
110	0.6004552506
111	0.6003508962
112	0.5998228133
113	0.5996428824
114	0.5993165981
115	0.5988531871
116	0.5986062333
117	0.5984529258
118	0.5972958171
119	0.5971318635
120	0.5966990658
121	0.5959944981
122	0.5952653103
123	0.5948198552
124	0.5942475934
125	0.5938896005
126	0.5934565554
127	0.5931768921
128	0.5927813245
129	0.5919761202
130	0.5915913137
131	0.5910837451
132	0.5905698644
133	0.590225274
134	0.5900631989
135	0.5899632554
136	0.5895237427
137	0.5892596707
138	0.5885377399
139	0.588035606
140	0.5875667431
141	0.5869459406
142	0.5865824083
143	0.5860819921
144	0.5859262257
145	0.5855992566
146	0.5852572505
147	0.5847942653
148	0.584082075
149	0.5836795847
150	0.5835299209
151	0.5834023124
152	0.5827284796
153	0.5822980896
154	0.5819326308
155	0.5816762089
156	0.5812833342
157	0.5808628976
158	0.5802455711
159	0.5798643204
160	0.5794628831
161	0.5791498625
162	0.5788687212
163	0.5784706453
164	0.5779882137
165	0.5776474077
166	0.5774023584
167	0.5772022992
168	0.5766898659
169	0.5763042279
170	0.5761886997
171	0.5758350704
172	0.5750897679
173	0.5743093049
174	0.5741092615
175	0.5739147815
176	0.573374118
177	0.5726427488
178	0.57255063
179	0.572278601
180	0.5721297617
181	0.5719938745
182	0.5717134283
183	0.571295626
184	0.5707672634
185	0.5706441529
186	0.5703677158
187	0.5703028017
188	0.5698908601
189	0.5696416083
190	0.5693886998
191	0.5691189979
192	0.5687070928
193	0.5678453959
194	0.5675364548
195	0.5670539585
196	0.566698347
197	0.566293892
198	0.5658351462
199	0.5655251534
200	0.5649434987
201	0.5647120997
202	0.5637308806
203	0.5630869342
204	0.5623262678
205	0.5617366702
206	0.5614042931
207	0.5606998644
208	0.5604229319
209	0.5599101857
210	0.5594837293
211	0.5593360796
212	0.5590246654
213	0.5583447815
214	0.5578661187
215	0.5576329755
216	0.5567334585
217	0.5561537302
218	0.555752759
219	0.5553915997
220	0.5549403676
221	0.5548534109
222	0.5547836884
223	0.5545880301
224	0.554177423
225	0.5539035954
226	0.553424388
227	0.5529284932
228	0.5526106048
229	0.5525408499
230	0.5519779739
231	0.5516601688
232	0.5515852051
233	0.5515181019
234	0.5513157595
235	0.5511018277
236	0.5510330011
237	0.5506039739
238	0.5498998515
239	0.5496853934
240	0.5493594198
241	0.5488129517
242	0.548410453
243	0.5479790632
244	0.5475454787
245	0.5472099434
246	0.5469762172
247	0.5467965229
248	0.5466071211
249	0.5464776371
250	0.5462072454
251	0.5456575706
252	0.5449462881
253	0.5444719175
254	0.544115906
