iter	Passed	Remaining
0	247	494562
1	344	344166
2	442	294444
3	538	268598
4	635	253402
5	730	242788
6	829	236080
7	919	228936
8	1021	225993
9	1131	225142
10	1251	226257
11	1367	226498
12	1469	224590
13	1574	223384
14	1690	223772
15	1786	221530
16	1882	219600
17	1973	217249
18	2081	217053
19	2191	216924
20	2305	217251
21	2418	217478
22	2524	217026
23	2634	216940
24	2733	215969
25	2845	216037
26	2937	214626
27	3027	213225
28	3133	212949
29	3241	212829
30	3324	211162
31	3432	211121
32	3541	211068
33	3628	209827
34	3736	209790
35	3837	209354
36	3944	209296
37	4065	209886
38	4174	209880
39	4272	209374
40	4380	209292
41	4479	208819
42	4577	208335
43	4684	208249
44	4796	208393
45	4884	207504
46	4984	207128
47	5083	206723
48	5183	206402
49	5287	206215
50	5384	205775
51	5483	205422
52	5588	205305
53	5701	205451
54	5818	205756
55	5916	205373
56	6016	205087
57	6110	204612
58	6208	204260
59	6308	203989
60	6424	204227
61	6519	203784
62	6619	203537
63	6719	203273
64	6822	203088
65	6919	202756
66	7024	202653
67	7131	202616
68	7232	202415
69	7338	202345
70	7455	202554
71	7555	202329
72	7649	201936
73	7755	201863
74	7850	201494
75	7940	201031
76	8053	201119
77	8151	200859
78	8256	200760
79	8354	200502
80	8453	200269
81	8570	200475
82	8660	200035
83	8756	199724
84	8868	199794
85	8957	199361
86	9068	199403
87	9161	199054
88	9264	198916
89	9376	198986
90	9485	198979
91	9600	199108
92	9702	198961
93	9819	199102
94	9906	198660
95	10005	198450
96	10110	198362
97	10220	198359
98	10326	198283
99	10423	198055
100	10525	197891
101	10636	197924
102	10736	197747
103	10844	197702
104	10958	197777
105	11065	197723
106	11169	197614
107	11272	197472
108	11380	197434
109	11490	197433
110	11600	197413
111	11714	197480
112	11823	197433
113	11920	197206
114	12036	197288
115	12151	197359
116	12251	197182
117	12350	196972
118	12451	196811
119	12544	196537
120	12654	196517
121	12769	196573
122	12876	196491
123	12982	196417
124	13088	196326
125	13193	196222
126	13298	196130
127	13404	196036
128	13509	195935
129	13614	195837
130	13717	195707
131	13837	195825
132	13960	195975
133	14080	196081
134	14175	195829
135	14273	195634
136	14371	195436
137	14485	195442
138	14623	195787
139	14741	195847
140	14849	195781
141	14957	195706
142	15078	195808
143	15188	195764
144	15297	195705
145	15423	195857
146	15529	195754
147	15642	195736
148	15745	195599
149	15852	195515
150	15942	195217
151	16038	194999
152	16146	194922
153	16243	194708
154	16349	194617
155	16456	194527
156	16559	194385
157	16658	194209
158	16772	194202
159	16887	194210
160	17011	194307
161	17115	194185
162	17212	193978
163	17322	193924
164	17460	194185
165	17582	194249
166	17683	194098
167	17782	193913
168	17890	193826
169	18005	193828
170	18097	193564
171	18197	193396
172	18299	193254
173	18412	193222
174	18500	192936
175	18609	192863
176	18713	192736
177	18821	192654
178	18914	192423
179	19009	192204
180	19111	192065
181	19204	191832
182	19306	191693
183	19407	191538
184	19513	191438
185	19606	191216
186	19706	191061
187	19806	190904
188	19907	190756
189	20015	190670
190	20109	190461
191	20219	190397
192	20319	190246
193	20427	190166
194	20536	190089
195	20644	190015
196	20747	189884
197	20862	189873
198	20976	189846
199	21093	189845
200	21207	189811
201	21318	189753
202	21422	189640
203	21528	189534
204	21632	189414
205	21739	189326
206	21852	189279
207	21960	189201
208	22061	189052
209	22170	188976
210	22269	188813
211	22374	188702
212	22477	188575
213	22583	188479
214	22685	188340
215	22805	188359
216	22911	188250
217	23045	188381
218	23173	188459
219	23282	188378
220	23399	188357
221	23490	188137
222	23589	187975
223	23693	187852
224	23798	187746
225	23905	187644
226	24010	187536
227	24116	187428
228	24219	187305
229	24309	187075
230	24418	187000
231	24523	186884
232	24612	186654
233	24698	186403
234	24805	186303
235	24915	186230
236	25006	186018
237	25113	185927
238	25222	185843
239	25328	185743
240	25434	185639
241	25539	185529
242	25650	185463
243	25758	185374
244	25865	185282
245	25973	185194
246	26079	185089
247	26175	184914
248	26273	184759
249	26367	184572
250	26465	184417
251	26576	184345
252	26676	184204
253	26783	184109
254	26884	183977
255	26980	183806
256	27080	183664
257	27188	183572
258	27290	183444
259	27415	183472
260	27534	183457
261	27663	183509
262	27778	183465
263	27891	183410
264	28009	183383
265	28099	183174
266	28206	183075
267	28318	183015
268	28431	182957
269	28554	182960
270	28664	182884
271	28770	182774
272	28886	182735
273	29001	182688
274	29116	182641
275	29231	182588
276	29364	182650
277	29482	182624
278	29602	182600
279	29703	182463
280	29802	182313
281	29909	182214
282	30014	182103
283	30121	182004
284	30232	181923
285	30339	181823
286	30446	181727
287	30553	181621
288	30663	181537
289	30775	181471
290	30888	181401
291	31001	181334
292	31109	181241
293	31219	181160
294	31331	181086
295	31445	181025
296	31552	180923
297	31651	180776
298	31734	180536
299	31851	180489
300	31962	180410
301	32061	180267
302	32170	180173
303	32279	180087
304	32388	179993
305	32490	179868
306	32595	179754
307	32703	179659
308	32808	179543
309	32920	179470
310	33029	179378
311	33141	179306
312	33253	179227
313	33361	179131
314	33478	179080
315	33587	178992
316	33698	178912
317	33815	178859
318	33927	178785
319	34033	178675
320	34133	178536
321	34239	178430
322	34354	178365
323	34466	178289
324	34563	178133
325	34668	178021
326	34769	177890
327	34876	177787
328	34985	177690
329	35083	177546
330	35194	177462
331	35303	177369
332	35404	177232
333	35520	177175
334	35620	177036
335	35727	176933
336	35833	176827
337	35942	176737
338	36079	176779
339	36179	176640
340	36279	176501
341	36380	176370
342	36482	176245
343	36578	176088
344	36668	175902
345	36778	175812
346	36888	175725
347	36997	175629
348	37118	175593
349	37239	175558
350	37346	175452
351	37457	175370
352	37568	175285
353	37673	175171
354	37767	175007
355	37878	174922
356	37974	174769
357	38085	174682
358	38195	174594
359	38298	174472
360	38398	174336
361	38507	174239
362	38619	174160
363	38721	174034
364	38831	173944
365	38944	173868
366	39043	173729
367	39131	173541
368	39221	173361
369	39305	173157
370	39416	173070
371	39523	172967
372	39634	172883
373	39770	172907
374	39899	172898
375	40007	172798
376	40099	172630
377	40192	172465
378	40296	172349
379	40379	172144
380	40479	172010
381	40583	171897
382	40668	171701
383	40782	171625
384	40894	171545
385	41006	171461
386	41118	171380
387	41224	171271
388	41341	171209
389	41454	171131
390	41569	171060
391	41669	170928
392	41784	170860
393	41901	170798
394	42019	170736
395	42133	170663
396	42262	170648
397	42384	170601
398	42505	170552
399	42624	170499
400	42735	170407
401	42849	170331
402	42960	170241
403	43069	170147
404	43181	170059
405	43291	169965
406	43401	169873
407	43505	169755
408	43616	169668
409	43725	169571
410	43832	169464
411	43937	169353
412	44048	169260
413	44158	169169
414	44264	169060
415	44378	168979
416	44485	168876
417	44590	168760
418	44699	168662
419	44806	168559
420	44910	168440
421	45018	168339
422	45125	168235
423	45231	168123
424	45334	168005
425	45444	167908
426	45562	167843
427	45647	167658
428	45774	167626
429	45900	167590
430	46005	167478
431	46117	167388
432	46221	167271
433	46327	167162
434	46433	167052
435	46537	166938
436	46646	166837
437	46749	166719
438	46851	166594
439	46964	166512
440	47066	166385
441	47166	166257
442	47279	166172
443	47393	166090
444	47497	165972
445	47596	165840
446	47719	165791
447	47830	165698
448	47931	165571
449	48031	165442
450	48135	165324
451	48242	165220
452	48352	165124
453	48466	165041
454	48570	164925
455	48683	164840
456	48790	164734
457	48895	164620
458	48995	164491
459	49098	164373
460	49206	164271
461	49321	164192
462	49412	164033
463	49526	163949
464	49629	163830
465	49740	163737
466	49850	163641
467	49953	163521
468	50057	163407
469	50166	163308
470	50270	163191
471	50376	163084
472	50483	162977
473	50581	162842
474	50687	162734
475	50801	162650
476	50914	162563
477	51053	162557
478	51183	162526
479	51345	162595
480	51483	162585
481	51603	162518
482	51710	162410
483	51827	162335
484	51939	162245
485	52052	162156
486	52163	162060
487	52274	161965
488	52382	161860
489	52494	161767
490	52620	161720
491	52761	161717
492	52899	161702
493	53012	161611
494	53126	161526
495	53234	161420
496	53348	161333
497	53455	161226
498	53565	161126
499	53676	161030
500	53787	160932
501	53893	160821
502	54000	160714
503	54113	160623
504	54227	160533
505	54339	160441
506	54455	160358
507	54572	160279
508	54683	160182
509	54788	160068
510	54904	159987
511	55026	159920
512	55130	159801
513	55243	159712
514	55351	159605
515	55457	159494
516	55568	159397
517	55679	159297
518	55789	159199
519	55903	159109
520	56015	159014
521	56119	158897
522	56226	158789
523	56332	158676
524	56446	158586
525	56552	158476
526	56662	158375
527	56769	158266
528	56867	158131
529	56980	158040
530	57084	157924
531	57188	157806
532	57292	157689
533	57425	157650
534	57529	157534
535	57651	157467
536	57769	157387
537	57873	157269
538	58008	157237
539	58134	157178
540	58249	157089
541	58545	157488
542	59109	158605
543	59708	159807
544	60262	160885
545	60750	161778
546	61279	162777
547	61738	163585
548	61882	163553
549	62019	163505
550	62133	163395
551	62249	163292
552	62364	163184
553	62500	163134
554	62639	163087
555	62775	163036
556	62909	162977
557	63033	162892
558	63168	162837
559	63305	162785
560	63442	162733
561	63575	162670
562	63709	162613
563	63834	162528
564	63966	162462
565	64092	162383
566	64219	162304
567	64346	162226
568	64446	162079
569	64569	161991
570	64696	161912
571	64809	161796
572	64937	161719
573	65066	161644
574	65177	161526
575	65306	161452
576	65440	161388
577	65573	161323
578	65682	161199
579	65808	161118
580	65947	161065
581	66079	160998
582	66206	160915
583	66321	160806
584	66441	160708
585	66571	160635
586	66698	160554
587	66836	160497
588	66964	160420
589	67097	160352
590	67236	160297
591	67364	160217
592	67497	160150
593	67624	160068
594	67754	159992
595	67882	159911
596	68015	159843
597	68157	159794
598	68267	159671
599	68373	159537
600	68480	159407
601	68570	159239
602	68671	159095
603	68781	158971
